Wall time,Step,Value
1741568597.707451,422,294.0087585449219
1741568602.6342225,423,246.77952575683594
1741568611.9987617,424,246.943115234375
1741568631.504092,425,236.35679626464844
1741568637.6461885,426,258.736572265625
1741568649.9521577,427,236.59671020507812
1741568657.6642013,428,295.93609619140625
1741568661.2699757,429,258.8243103027344
1741568668.9496615,430,264.5677795410156
1741568676.9543295,431,226.3160400390625
1741568684.660247,432,286.0421142578125
1741568691.0183163,433,265.5577087402344
1741568698.0679796,434,222.2450714111328
1741568706.0328848,435,194.02301025390625
1741568714.2291472,436,245.1189422607422
1741568717.0776045,437,30.863502502441406
1741568727.316914,438,246.3468780517578
1741568732.4730768,439,266.1832580566406
1741568740.2581258,440,262.08447265625
1741568742.9061182,441,28.97934341430664
1741568746.8529243,442,259.11346435546875
1741568752.248363,443,268.7757873535156
1741568755.130024,444,-27.525142669677734
1741568761.2080722,445,243.6453857421875
1741568765.4212441,446,269.99603271484375
1741568768.1269076,447,16.760988235473633
1741568774.116231,448,300.1580505371094
1741568781.6923597,449,230.6730499267578
1741568788.6162434,450,260.22332763671875
1741568802.075046,451,216.06407165527344
1741568822.5067923,452,141.945556640625
1741568826.6284494,453,264.4461364746094
1741568832.3590865,454,292.40521240234375
1741568842.9158697,455,227.48687744140625
1741568848.51704,456,271.2879943847656
1741568868.9533432,457,113.63984680175781
1741568877.3632362,458,246.49034118652344
1741568885.0969465,459,281.3271179199219
1741568893.0024657,460,297.572998046875
1741568908.120047,461,151.34722900390625
1741568928.534948,462,-6.5709428787231445
1741568948.964002,463,-52.230594635009766
1741568959.0251317,464,-227.10110473632812
1741568970.3705688,465,-216.6225128173828
1741568978.3582146,466,-428.32489013671875
1741568988.1359944,467,235.08798217773438
1741568995.4949224,468,234.5753173828125
1741569001.1219625,469,239.52197265625
1741569011.449277,470,269.5369567871094
1741569016.2510326,471,229.10223388671875
1741569020.7030425,472,4.870939254760742
1741569032.16572,473,251.2874298095703
1741569042.00895,474,239.4764862060547
1741569052.357615,475,248.7681884765625
1741569061.2126193,476,257.9412841796875
1741569071.192228,477,235.32107543945312
1741569083.4266834,478,230.9581298828125
1741569096.0260925,479,212.093994140625
1741569104.067231,480,217.59561157226562
1741569113.9461327,481,250.13906860351562
1741569124.8002903,482,248.72686767578125
1741569131.420188,483,226.91751098632812
1741569140.598146,484,260.47235107421875
1741569158.934867,485,220.49118041992188
1741569170.7669556,486,223.5726318359375
1741569179.1219049,487,270.2226867675781
1741569187.3394191,488,266.56427001953125
1741569194.6869278,489,229.3760986328125
1741569206.414662,490,244.97518920898438
1741569212.651365,491,283.4053955078125
1741569219.7467642,492,246.60057067871094
1741569225.301568,493,230.28273010253906
1741569232.2829335,494,290.18511962890625
1741569237.3560956,495,268.68768310546875
1741569244.5960627,496,275.2005615234375
1741569256.555803,497,265.2009582519531
1741569270.7151158,498,199.4371795654297
1741569277.2038426,499,264.994384765625
1741569281.3558428,500,277.7910461425781
1741569286.8095758,501,6.267240047454834
1741569290.8941963,502,256.55682373046875
1741569295.2481189,503,267.57305908203125
1741569307.014725,504,261.343017578125
1741569313.707846,505,222.249267578125
1741569324.0857105,506,234.6118927001953
1741569328.7856534,507,245.92822265625
1741569334.7527716,508,274.306884765625
1741569339.5361454,509,269.5877380371094
1741569348.3927517,510,266.2837829589844
1741569355.9760642,511,201.1710662841797
1741569358.0156531,512,-11.279452323913574
1741569371.0418406,513,175.4277801513672
1741569376.904465,514,250.53138732910156
1741569384.0079236,515,272.13568115234375
1741569394.9610486,516,238.91075134277344
1741569404.2573497,517,242.4727783203125
1741569411.66511,518,250.79287719726562
1741569418.5173295,519,227.8563690185547
1741569431.5287728,520,173.00216674804688
1741569442.7984395,521,212.7185821533203
1741569451.5063648,522,288.37005615234375
1741569471.0328364,523,185.61683654785156
1741569481.5339403,524,222.43544006347656
1741569502.0220873,525,56.647972106933594
1741569522.4968915,526,-61.8958854675293
1741569529.414687,527,258.7041320800781
1741569538.1677577,528,248.54598999023438
1741569547.0796978,529,200.66806030273438
1741569560.1382535,530,144.16018676757812
1741569580.6506677,531,35.373023986816406
1741569590.123178,532,244.7456817626953
1741569601.2257767,533,220.08290100097656
1741569609.023085,534,243.90684509277344
1741569623.2090032,535,212.80636596679688
1741569631.661916,536,236.72952270507812
1741569651.2117105,537,184.5986785888672
1741569661.1972816,538,234.72598266601562
1741569681.7057905,539,89.81375885009766
1741569700.4360332,540,210.0193634033203
1741569709.1703196,541,238.66392517089844
1741569720.3892674,542,250.67213439941406
1741569728.6168115,543,240.359130859375
1741569739.0446277,544,228.32994079589844
1741569757.4118624,545,180.94554138183594
1741569777.9255235,546,81.48396301269531
1741569798.4045074,547,89.60716247558594
1741569806.4055216,548,284.1790771484375
1741569812.6796434,549,246.80406188964844
1741569825.9965134,550,203.8179931640625
1741569832.7256541,551,263.5466003417969
1741569839.96398,552,239.55325317382812
1741569847.722965,553,223.11219787597656
1741569855.2216291,554,238.50372314453125
1741569860.5955215,555,265.1094970703125
1741569867.6076486,556,253.80174255371094
1741569873.7540622,557,252.91038513183594
1741569880.0326192,558,231.5510711669922
1741569888.3149018,559,257.4811096191406
1741569897.1102655,560,249.37295532226562
1741569905.7219672,561,236.4197998046875
1741569911.5721905,562,247.5194091796875
1741569918.377066,563,260.607421875
1741569938.8655288,564,90.10643005371094
1741569947.6009407,565,196.20225524902344
1741569965.458949,566,157.74346923828125
1741569971.7046673,567,231.870361328125
1741569978.8845866,568,273.6412353515625
1741569987.912213,569,233.21078491210938
1741569995.429648,570,261.996826171875
1741570003.175753,571,259.3456115722656
1741570012.0138454,572,262.9483642578125
1741570017.244893,573,235.1303253173828
1741570023.0709023,574,235.01708984375
1741570031.641867,575,283.3625183105469
1741570037.557117,576,248.1572723388672
1741570041.715707,577,67.0511474609375
1741570049.823562,578,271.1549987792969
1741570056.2119036,579,236.3271026611328
1741570076.7439554,580,-69.83060455322266
1741570082.9328353,581,270.00103759765625
1741570090.3136592,582,254.23199462890625
1741570095.537404,583,224.404541015625
1741570101.9817355,584,285.3766174316406
1741570106.816358,585,255.88783264160156
1741570112.8542552,586,264.0344543457031
1741570119.3486109,587,267.56268310546875
1741570130.3141172,588,142.37680053710938
1741570137.9302452,589,273.12652587890625
1741570158.4480166,590,-107.12789916992188
1741570166.5726657,591,270.5760498046875
1741570170.9863174,592,226.779541015625
1741570176.2779374,593,227.31787109375
1741570183.5976634,594,269.11004638671875
1741570189.144571,595,234.33155822753906
1741570196.668721,596,208.45545959472656
1741570202.5716467,597,284.9100646972656
1741570208.641713,598,258.07574462890625
1741570214.7186337,599,242.43199157714844
